Titre du poste,Entreprise,Ville,Secteur,Contrat proposé,Niveau d'étude,Expérience,Compétences Techniques,Langues,Soft Skills,Lien de l'offre
Recrutement d’un Responsable des Opérations (Rabat),Non spécifié,Rabat,Non spécifié,CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/recrutement-dun-responsable-des-operations-rabat/
Juriste Junior,Non spécifié,Non spécifié,Non spécifié,CDI,Bac+5,Non spécifié,Non spécifié,"Français, Anglais","Communication, Organisation, Rigueur",https://www.dreamjob.ma/stage/minthr-recrute-juriste-junior-stage-casablanca/
ADM Value agrandit ses équipes à Rabat: découvrez nos offres en télévente et conseil,Non spécifié,Rabat,"Automobile, Énergie",CDI,Non spécifié,20 ans,Non spécifié,Français,"Autonomie, Communication, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/adm-value-recrute-plusieurs-profils/
Fondation Arrawaj recrute Plusieurs Profils (Tout le Maroc),Fondation Arrawaj,Non spécifié,Non spécifié,CDI,Bac+3,30 ans,Non spécifié,Non specifié,"Autonomie, Communication, Initiative, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/fondation-arrawaj-recrute-plusieurs-profils-tout-le-maroc/
Société de Construction Routière recrute un Responsable Matériel BTP à Salé,Société de Construction Routière,Salé,"Btp, Construction, Logistique",Non spécifié,Bac+5,5 ans,Non spécifié,Non specifié,Organisation,https://www.dreamjob.ma/emploi/societe-de-construction-routiere-recrute-un-responsable-materiel-btp-a-sale/
Université Euromed de Fès recrute 16 nouveaux profils,Université Euromed de Fès,Fès,"Chimie, Recherche scientifique",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,Innovation,https://www.dreamjob.ma/emploi/universite-euromed-de-fes-recrute-16-nouveaux-profils/
Recrutement de Rédacteurs Web Freelance en Télétravail,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Français, Anglais",Flexibilité,https://www.dreamjob.ma/emploi/start-up-recrute-des-redacteurs-web-freelance-en-teletravail/
"AVANTA Maroc recrute pour Abu Dhabi: superviseurs, ingénieurs et chefs de projet",AVANTA Maroc,Non spécifié,Logistique,Intérim,Non spécifié,3 ans,"ANSYS, CAO, Creo, GMAO, Lean, SAP, Six sigma",Arabe,"Gestion de projet, Rigueur",https://www.dreamjob.ma/emploi-international/avanta-maroc-recrute-pour-abu-dhabi-superviseurs-ingenieurs-et-chefs-de-projet/
"Ingénierie, qualité, supply chain: TE Connectivity propose des opportunités variées à Tanger",Non spécifié,Tanger,"Automobile, Aéronautique, Énergie",CDI,Non spécifié,2 ans,"APQP, ERP, PPAP, SAP, SPC","Français, Anglais","Autonome, Communication, Innovation, Organisation",https://www.dreamjob.ma/emploi/ingenierie-qualite-supply-chain-te-connectivity-propose-des-opportunites-variees-a-tanger/
SIDEN recrute: 8 postes à saisir dans la construction métallique et l’ingénierie au Maroc,SIDEN,Non spécifié,Construction,Non spécifié,Bac+2,Non spécifié,"Autocad, CAO, SOLIDWORKS",Non specifié,"Autonomie, Innovation, Rigueur",https://www.dreamjob.ma/emploi/siden-recrute-8-postes-a-saisir-dans-la-construction-metallique-et-lingenierie-au-maroc/
Managem recrute: opportunités pour jeunes diplômés en maintenance mécanique,Managem,Taroudant,Minier,Stage,Bac+2,90 ans,GMAO,Non specifié,"Innovation, Rigueur",https://www.dreamjob.ma/emploi/managem-recrute-opportunites-pour-jeunes-diplomes-en-maintenance-mecanique/
"Proma Group recrute à Kénitra: ingénieur, comptable, stagiaires… plusieurs postes ouverts !",Proma Group,Kénitra,Automobile,Stage,"Bac+2, bac+3, bac+5",5 ans,"SAP, SQL",Anglais,Innovation,https://www.dreamjob.ma/emploi/proma-group-recrute-a-kenitra-ingenieur-comptable-stagiaires-plusieurs-postes-ouverts/
Offres d’emploi chez SEGULA: techniciens en mécanique recherchés,Non spécifié,Non spécifié,"Automobile, Aéronautique, Ferroviaire, Naval, Procédés, Énergie",Anapec,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Innovation, Rigueur",https://www.dreamjob.ma/emploi/offres-demploi-chez-segula-techniciens-en-mecanique-recherches/
"Auditeur, Commercial, Ingénieur: SNEP cherche des talents","Auditeur, Commercial, Ingénieur: SNEP",Non spécifié,Non spécifié,Non spécifié,Non spécifié,5 ans,Non spécifié,Non specifié,Rigueur,https://www.dreamjob.ma/emploi/auditeur-commercial-ingenieur-snep-cherche-des-talents/
Nouvelle usine à Tanger: SKF crée 60 emplois dans l’électromécanique de haute performance,Non spécifié,Tanger,"Automobile, Aéronautique",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,Innovation,https://www.dreamjob.ma/news/nouvelle-usine-a-tanger-skf-cree-60-emplois-dans-lelectromecanique-de-haute-performance/
Smart Composite Company recrute 3 ingénieurs juniors pour ses chantiers à El Jadida,Smart Composite Company,El Jadida,"Agroalimentaire, Chimie, Procédés",Stage,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Autonomie, Initiative, Innovation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/smart-composite-company-recrute-3-ingenieurs-juniors-pour-ses-chantiers-a-el-jadida/
Concours 2025: Rejoignez l’Agence du Bassin Hydraulique – ingénieur et technicien recherchés,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,18 à 45 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-2025-rejoignez-lagence-du-bassin-hydraulique-ingenieur-et-technicien-recherches/
Ingénieur ou commercial? Deux postes clés à pourvoir chez International Paper Casablanca,Non spécifié,Casablanca,Procédés,Non spécifié,Bac+5,2 ans,"Lean, Six sigma","Français, Anglais",Rigueur,https://www.dreamjob.ma/emploi/ingenieur-ou-commercial-deux-postes-cles-a-pourvoir-chez-international-paper-casablanca/
"OFPPT recrute: 72 postes ouverts dans l’automobile, la gestion et le génie civil",OFPPT,Non spécifié,"Automobile, Btp, Logistique",Stage,Non spécifié,4 ans,Non spécifié,"Français, Arabe",Communication,https://www.dreamjob.ma/emploi-public/ofppt-recrute-72-postes-ouverts-dans-lautomobile-la-gestion-et-le-genie-civil/
SEI Casablanca recrute des Dessinateurs Projeteurs Mécaniques confirmés,SEI Casablanca,Casablanca,Non spécifié,CDI,Bac+2,Non spécifié,"Autocad, CAO, CATIA, Conception mécanique, DAO, SOLIDWORKS",Non specifié,"Autonomie, Gestion de projet, Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/sei-casablanca-recrute-des-dessinateurs-projeteurs-mecaniques-confirmes/
SERIFF recrute à Safi: postes de techniciens en mécanique et électricité,SERIFF,Safi,Non spécifié,CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Autonomie, Rigueur",https://www.dreamjob.ma/emploi/seriff-recrute-a-safi-postes-de-techniciens-en-mecanique-et-electricite/
CEC recrute: 4 postes clés ouverts dans l’ingénierie et les projets industriels,CEC,Non spécifié,Énergie,Non spécifié,Non spécifié,5 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/cec-recrute-4-postes-cles-ouverts-dans-lingenierie-et-les-projets-industriels/
Opportunités d’emploi dans l’ingénierie ferroviaire: SIANA ouvre ses recrutements,Opportunités d’emploi dans l’ingénierie ferroviaire: SIANA,Non spécifié,Ferroviaire,Non spécifié,"Bac+3, bac+5",Non spécifié,Non spécifié,Français,"Autonomie, Communication, Initiative, Innovation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/opportunites-demploi-dans-lingenierie-ferroviaire-siana-ouvre-ses-recrutements/
Groupe ProCan recrute des Ingénieurs Miniers et Civils,Groupe ProCan,Non spécifié,Procédés,Non spécifié,Non spécifié,2 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/groupe-procan-recrute-des-ingenieurs-miniers-et-civils/
HANDS 8 SA recrute des Ingénieurs R&D – Postes ouverts pour jeunes diplômés,HANDS 8 SA,Non spécifié,"Automobile, Procédés",Non spécifié,Non spécifié,Non spécifié,"Autocad, Modélisation","Français, Anglais","Communication, Gestion de projet, Innovation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/hands-8-sa-recrute-des-ingenieurs-rd-postes-ouverts-pour-jeunes-diplomes/
Managem recrute des Ingénieurs Mécaniciens – Opportunités dans le secteur minier,Managem,Non spécifié,Minier,Non spécifié,Non spécifié,90 ans,GMAO,Non specifié,"Innovation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/managem-recrute-des-ingenieurs-mecaniciens-opportunites-dans-le-secteur-minier/
Offres d’emploi chez Sygma Engineering Services: ingénieurs et experts recherchés,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,8 ans,Non spécifié,Non specifié,"Rigueur, Réactivité",https://www.dreamjob.ma/emploi/offres-demploi-chez-sygma-engineering-services-ingenieurs-et-experts-recherches/
Mint HR recrute un(e) Chargé(e) de Recrutement (CDI) – Casablanca,Mint HR,Casablanca,Non spécifié,CDI,"Bac+3, bac+5",Non spécifié,Non spécifié,Non specifié,"Autonomie, Communication, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/mint-hr-recrute-une-chargee-de-recrutement-cdi-casablanca/
Magasin d’Optique recrute une Vendeuse (Wifak Témara),Magasin d’Optique,Témara,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Autonome, Communication, Organisation, Organisé, Proactivité, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/optique-recrute-une-vendeuse-sur-wifak-temara/
"Solevio recrute des Vendeurs Conventionnels CHR (Cafés, Hôtels, Restaurants) (Casablanca)",Solevio,Casablanca,Agroalimentaire,Non spécifié,Bac+2,3 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/solevio-recrute-vendeurs-conventionnels-chr-casablanca/
Grande campagne de recrutement Calliope: plusieurs postes à saisir partout au Maroc,Non spécifié,Non spécifié,"Automobile, Logistique",Stage,"Bac+2, bac+3, bac+4, bac+5",3 à 5 ans,Excel,"Français, Anglais, Arabe","Autonomie, Communication, Créativité, Gestion de projet, Initiative, Innovation, Leadership, Organisation, Relationnel, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/grande-campagne-de-recrutement-calliope-plusieurs-postes-a-saisir-partout-au-maroc/
Recrutement d’un Responsable des Opérations (Rabat),Non spécifié,Rabat,Non spécifié,CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/recrutement-dun-responsable-des-operations-rabat/
Juriste Junior,Non spécifié,Non spécifié,Non spécifié,CDI,Bac+5,Non spécifié,Non spécifié,"Français, Anglais","Communication, Organisation, Rigueur",https://www.dreamjob.ma/stage/minthr-recrute-juriste-junior-stage-casablanca/
ADM Value agrandit ses équipes à Rabat: découvrez nos offres en télévente et conseil,Non spécifié,Rabat,"Automobile, Énergie",CDI,Non spécifié,20 ans,Non spécifié,Français,"Autonomie, Communication, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/adm-value-recrute-plusieurs-profils/
Fondation Arrawaj recrute Plusieurs Profils (Tout le Maroc),Fondation Arrawaj,Non spécifié,Non spécifié,CDI,Bac+3,30 ans,Non spécifié,Non specifié,"Autonomie, Communication, Initiative, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/fondation-arrawaj-recrute-plusieurs-profils-tout-le-maroc/
Société de Construction Routière recrute un Responsable Matériel BTP à Salé,Société de Construction Routière,Salé,"Btp, Construction, Logistique",Non spécifié,Bac+5,5 ans,Non spécifié,Non specifié,Organisation,https://www.dreamjob.ma/emploi/societe-de-construction-routiere-recrute-un-responsable-materiel-btp-a-sale/
Université Euromed de Fès recrute 16 nouveaux profils,Université Euromed de Fès,Fès,"Chimie, Recherche scientifique",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,Innovation,https://www.dreamjob.ma/emploi/universite-euromed-de-fes-recrute-16-nouveaux-profils/
Recrutement de Rédacteurs Web Freelance en Télétravail,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Français, Anglais",Flexibilité,https://www.dreamjob.ma/emploi/start-up-recrute-des-redacteurs-web-freelance-en-teletravail/
Rejoignez le Groupe SEI: Concepteurs Mécaniques Confirmés recherchés à Casablanca,Non spécifié,Casablanca,"Agroalimentaire, Btp, Ferroviaire, Pharmaceutique, Procédés",CDI,Bac+2,30 ans,"CAO, Conception mécanique, DAO",Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/rejoignez-le-groupe-sei-concepteurs-mecaniques-confirmes-recherches-a-casablanca/
TE Connectivity recrute des stagiaires en ingénierie produit à Tanger,TE Connectivity,Tanger,Non spécifié,Stage,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Communication, Initiative, Leadership, Résolution de problèmes",https://www.dreamjob.ma/stage/te-connectivity-recrute-des-stagiaires-en-ingenierie-produit-a-tanger/
Recrutement chez LEONI WS Maroc: Devenez Ingénieur Qualité à Bouznika,Non spécifié,Non spécifié,"Automobile, Énergie",Non spécifié,Bac+5,3 à 5 ans,Non spécifié,"Français, Anglais",Communication,https://www.dreamjob.ma/emploi/recrutement-chez-leoni-ws-maroc-devenez-ingenieur-qualite-a-bouznika/
P&G Recrute des Ingénieurs Projets: Opportunités Internationales à Saisir,P&G,Non spécifié,Non spécifié,CDI,Non spécifié,185 ans,Robotique,Anglais,"Créativité, Flexibilité, Initiative, Innovation, Leadership, Travailler en équipe",https://www.dreamjob.ma/emploi/pg-recrute-des-ingenieurs-projets-opportunites-internationales-a-saisir/
Opportunités chez Kostal: Maintenance et Ingénierie de Production,Non spécifié,Tanger,Automobile,Non spécifié,Non spécifié,2 ans,"Robotique, SAP",Anglais,"Communication, Flexibilité, Résolution de problèmes",https://www.dreamjob.ma/emploi/opportunites-chez-kostal-maintenance-et-ingenierie-de-production/
Ingénieurs Chef de Projet: Opportunités à Saisir chez SIDEN,Non spécifié,Non spécifié,Construction,Non spécifié,Non spécifié,5 ans,Non spécifié,Non specifié,"Leadership, Organisation",https://www.dreamjob.ma/emploi/ingenieurs-chef-de-projet-opportunites-a-saisir-chez-siden/
"Opportunités de Stage PFE chez Yazaki: Génie Industriel, Mécatronique et Plus",Non spécifié,Fès,Automobile,Stage,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Créativité, Initiative, Rigueur",https://www.dreamjob.ma/stage/opportunites-de-stage-pfe-chez-yazaki-genie-industriel-mecatronique-et-plus/
Recrutement: Ingénieur de Maintenance chez SACEM,Non spécifié,Non spécifié,Minier,Non spécifié,Non spécifié,2 ans,Non spécifié,Non specifié,"Communication, Initiative",https://www.dreamjob.ma/emploi/recrutement-ingenieur-de-maintenance-chez-sacem/
Stage PFE chez Segula: Opportunités en Ingénierie pour 2024-2025 à Saisir !,Non spécifié,Casablanca,"Automobile, Aéronautique, Ferroviaire, Logistique, Naval, Énergie",Stage,Non spécifié,Non spécifié,"Conception mécanique, Modélisation, Robotique",Non specifié,Innovation,https://www.dreamjob.ma/stage/stage-pfe-chez-segula-opportunites-en-ingenierie-pour-2024-2025-a-saisir/
Postes d’Ingénierie Ouverts chez Aptiv,Non spécifié,Tanger,Automobile,Non spécifié,Bac+5,3 ans,Lean,Anglais,"Communication, Polyvalence, Résolution de problèmes",https://www.dreamjob.ma/emploi/postes-dingenierie-ouverts-chez-aptiv/
Opportunités de Carrière chez TAQA Morocco: Postes d’Ingénieur à Pourvoir,Non spécifié,Casablanca,Énergie,Non spécifié,Non spécifié,5 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/opportunites-de-carriere-chez-taqa-morocco-postes-dingenieur-a-pourvoir/
Offres d’Emploi pour Ingénieurs Électriques chez Procan,Non spécifié,Khouribga,Procédés,Non spécifié,Non spécifié,Non spécifié,Python,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/offres-demploi-pour-ingenieurs-electriques-chez-procan/
Carrières Ouvertes: Ingénieurs Électriques chez Procan,Non spécifié,Khouribga,Procédés,Non spécifié,Non spécifié,Non spécifié,Python,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/carrieres-ouvertes-ingenieurs-electriques-chez-procan/
Segula Technologies Recrute des Stagiaires Ingénieurs,Segula Technologies,Nouaceur,"Automobile, Aéronautique, Ferroviaire, Naval, Énergie",Stage,Bac+5,Non spécifié,Non spécifié,Non specifié,Innovation,https://www.dreamjob.ma/stage/segula-technologies-recrute-des-stagiaires-ingenieurs/
STROC Industrie Recrute: Opportunité pour Ingénieurs Études,STROC Industrie,Casablanca,Construction,Non spécifié,Non spécifié,2 à 3 ans,"CAO, DAO",Non specifié,"Créativité, Innovation, Rigueur",https://www.dreamjob.ma/emploi/stroc-industrie-recrute-opportunite-pour-ingenieurs-etudes/
